

 8176 atoms
17 atom types
-49 72.0363 xlo xhi
0 24.2487 ylo yhi
-4.55 50.05 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge
483 1 0.000000 10.500000 14.549227  9.100000
484 1 0.000000 14.700000 14.549227  9.100000
485 1 0.000000 18.900000 14.549227  9.100000
486 5 0.000000 23.100000 14.549227  9.100000
487 1 0.000000 2.100000 16.974098  9.100000
488 1 0.000000 6.300000 16.974098  9.100000
489 1 0.000000 10.500000 16.974098  9.100000
490 5 0.000000 14.700000 16.974098  9.100000
491 1 0.000000 18.900000 16.974098  9.100000
492 1 0.000000 23.100000 16.974098  9.100000
493 1 0.000000 2.100000 19.398969  9.100000
494 1 0.000000 6.300000 19.398969  9.100000
495 1 0.000000 10.500000 19.398969  9.100000
496 5 0.000000 14.700000 19.398969  9.100000
497 5 0.000000 18.900000 19.398969  9.100000
498 1 0.000000 23.100000 19.398969  9.100000
499 1 0.000000 2.100000 21.823840  9.100000
500 1 0.000000 6.300000 21.823840  9.100000
501 1 0.000000 10.500000 21.823840  9.100000
502 1 0.000000 14.700000 21.823840  9.100000
503 1 0.000000 18.900000 21.823840  9.100000
504 5 0.000000 23.100000 21.823840  9.100000
505 17 0.000000 0.000000 1.212436  9.100000
506 1 0.000000 4.200000 1.212436  9.100000
507 1 0.000000 8.400000 1.212436  9.100000
508 5 0.000000 12.600000 1.212436  9.100000
509 5 0.000000 16.800000 1.212436  9.100000
510 1 0.000000 21.000000 1.212436  9.100000
511 17 0.000000 0.000000 3.637307  9.100000
512 1 0.000000 4.200000 3.637307  9.100000
513 1 0.000000 8.400000 3.637307  9.100000
